DF;Douleur et Fievre
DAM;Douleurs Articulaires et Musculaires
ST;Sevrage Tabagique
SD;Sommeil et Detente
AD;Appareil Digestif
PS;Produit Sante
             VI;Visage
MAT;Maternite
SEX;Sexualite
VET;Veterinaire
FIT;Fitness
HYG;Hygiene
AA;Anti-Age
COR;Corps
MM;Matereil Medical
CA;Complement Alimentaire
                 SCA;Sommeil
CHE;Cheveux
LI;Lait Infantiles
BN;Bio Naturel
